OrgId,X-Coord,Y-Coord,Angle,Curvature,PLC-Bits,PLC-Word,PLC-Word2,ChangeTime,Remark
21143,46166,6911,9000,0,0,0,0,1697731488, 
21144,46166,6811,9000,0,0,0,0,1697731488, 
21145,46166,6711,9000,0,0,0,0,1697731488, 
21146,46166,6611,9000,0,0,0,0,1697731488, 
21147,46166,6511,9000,0,0,0,0,1697731488, 
21148,46166,6411,9000,0,0,0,0,1697731488, 
21149,46166,6311,9000,0,0,0,0,1697731488, 
21150,46166,6211,9000,0,0,0,0,1697731488, 
21151,46166,6111,9000,0,0,0,0,1697731488, 
21152,46166,6011,9000,0,0,0,0,1697731488, 
21153,46166,5911,9000,0,0,0,0,1697731488, 
21154,46166,5811,9000,0,0,0,0,1697731488, 
21155,46166,5711,9000,0,0,0,0,1697731488, 
21156,46166,5611,9000,0,0,0,0,1697731488, 
21157,46166,5511,9000,0,0,0,0,1697731488, 
21158,46166,5411,9000,0,0,0,0,1697731488, 
21159,46166,5311,9000,0,0,0,0,1697731488, 
21160,46166,5211,9000,0,0,0,0,1697731488, 
21161,46166,5111,9000,0,0,0,0,1697731488, 
21162,46166,5011,9000,0,0,0,0,1697731488, 
21163,46166,4911,9000,0,0,0,0,1697731488, 
21164,46166,4811,9000,0,0,0,0,1697731488, 
21165,46166,4711,9000,0,0,0,0,1697731488, 
21166,46166,4611,9000,0,0,0,0,1697731488, 
21167,46166,4511,9000,0,0,0,0,1697731488, 
21168,46166,4411,9000,0,0,0,0,1697731488, 
21169,46166,4311,9000,0,0,0,0,1697731488, 
21170,46166,4211,9000,0,0,0,0,1697731488, 
21171,46166,4111,9000,0,0,0,0,1697731488, 
21172,46166,4011,9000,0,0,0,0,1697731488, 
21173,46166,3911,9000,0,0,0,0,1697731488, 
21174,46166,3811,9000,0,0,0,0,1697731488, 
21175,46166,3711,9000,0,0,0,0,1697731488, 
21176,46166,3611,9000,0,0,0,0,1697731488, 
21177,46166,3511,9000,0,0,0,0,1697731488, 
21178,46166,3411,9000,0,0,0,0,1697731488, 
21179,46166,3311,9000,0,0,0,0,1697731488, 
21180,46166,3211,9000,0,0,0,0,1697731488, 
21181,46166,3111,9000,0,0,0,0,1697731488, 
23001,51776,21111,9000,0,0,0,0,1697731654, 
23002,51776,21011,9000,0,0,0,0,1697731669, 
23003,51776,20911,9000,0,0,0,0,1697731669, 
23004,51776,20811,9000,0,0,0,0,1697731669, 
23005,51776,20711,9000,0,0,0,0,1697731669, 
23006,51776,20611,9000,0,0,0,0,1697731669, 
23007,51776,20511,9000,0,0,0,0,1697731669, 
23008,51776,20411,9000,0,0,0,0,1697731669, 
23009,51776,20311,9000,0,0,0,0,1697731669, 
23010,51776,20211,9000,0,0,0,0,1697731669, 
23011,51776,20111,9000,0,0,0,0,1697731669, 
